number,discovery_date,discovery_site,discoverer,category,diameter_km
3129,"June 25, 1979",Siding Spring,"E. F. Helin , S. J. Bus",·,7.2
3130,"December 20, 1981",Kleť,A. Mrkos,NYS,13.0
3131,"January 24, 1982",Anderson Mesa,E. Bowell,KOR,10.0
3132,"November 29, 1940",Turku,L. Oterma,slow,36.0
3133,"October 4, 1907",Heidelberg,A. Kopff,·,7.2
3134,"November 5, 1921",Crimea-Simeis,S. Belyavsky,HIL · 3:2,50.0
3135,"March 1, 1981",Siding Spring,S. J. Bus,·,6.8
3136,"November 18, 1981",Nanking,Purple Mountain,·,19.0
3137,"September 16, 1982",Kleť,A. Mrkos,·,6.7
3138,"May 22, 1980",La Silla,H. Debehogne,slow,5.5
3139,"November 11, 1980",Nanking,Purple Mountain,·,37.0
3140,"January 9, 1983",Anderson Mesa,B. A. Skiff,EOS,20.0
3141,"September 2, 1984",Kleť,A. Mrkos,CYB,36.0
3142,"January 9, 1937",Nice,A. Patry,·,8.0
3143,"October 31, 1980",Harvard Observatory,Harvard Observatory,KOR,8.5
3144,"October 10, 1931",Heidelberg,K. Reinmuth,·,4.4
3145,"September 14, 1955",Brooklyn,Indiana University,·,3.4
3146,"May 17, 1972",Nauchnij,T. M. Smirnova,·,11.0
3147,"December 16, 1976",Nauchnij,L. I. Chernykh,·,10.0
3148,"September 24, 1979",Nauchnij,N. S. Chernykh,THM,17.0
3149,"September 22, 1981",Kleť,Z. Vávrová,·,4.6
3150,"February 11, 1983",Geisei,T. Seki,·,33.0
3151,"April 18, 1983",Anderson Mesa,N. G. Thomas,·,14.0
3152,"June 7, 1983",Lake Tekapo,"A. C. Gilmore , P. M. Kilmartin",·,31.0
3153,"September 28, 1984",Anderson Mesa,B. A. Skiff,·,5.0
3154,"September 28, 1984",Anderson Mesa,B. A. Skiff,THM,10.0
3155,"September 28, 1984",Anderson Mesa,B. A. Skiff,V,7.0
3156,"March 15, 1953",Uccle,A. Schmitt,·,31.0
3157,"September 25, 1973",Nauchnij,L. V. Zhuravleva,(1298),30.0
3158,"September 24, 1976",Nauchnij,N. S. Chernykh,MAR,7.3
