number,discovery_date,discovery_site,discoverer,category,diameter_km
954,"August 4, 1921",Heidelberg,K. Reinmuth,THM,59.0
955,"August 5, 1921",Heidelberg,K. Reinmuth,·,17.0
956,"August 8, 1921",Heidelberg,K. Reinmuth,·,10.0
957,"September 7, 1921",Heidelberg,K. Reinmuth,·,92.0
958,"September 28, 1921",Heidelberg,K. Reinmuth,3:2,45.0
959,"September 30, 1921",Heidelberg,K. Reinmuth,slow,45.0
960,"October 1, 1921",Heidelberg,K. Reinmuth,·,7.5
961,"October 10, 1921",Heidelberg,K. Reinmuth,·,37.0
962,"October 25, 1921",Heidelberg,K. Reinmuth,KOR,20.0
963,"October 26, 1921",Heidelberg,K. Reinmuth,·,9.0
964,"October 27, 1921",Vienna,J. Palisa,·,20.0
965,"November 4, 1921",La Plata Observatory,J. Hartmann,·,61.0
966,"November 9, 1921",Hamburg-Bergedorf,W. Baade,EUN,26.0
967,"November 9, 1921",Hamburg-Bergedorf,W. Baade,·,10.0
968,"November 24, 1921",Heidelberg,K. Reinmuth,·,24.0
969,"November 5, 1921",Crimea-Simeis,S. Belyavsky,·,17.0
970,"November 29, 1921",Heidelberg,K. Reinmuth,·,9.2
971,"November 23, 1921",Nice,A. Schaumasse,·,61.0
972,"January 18, 1922",Heidelberg,M. F. Wolf,·,78.0
973,"March 18, 1922",Heidelberg,K. Reinmuth,URS,52.0
974,"March 18, 1922",Heidelberg,K. Reinmuth,·,25.0
975,"March 27, 1922",Vienna,J. Palisa,KOR,22.0
976,"March 27, 1922",Algiers,B. Jekhovsky,·,83.0
977,"April 6, 1922",Algiers,B. Jekhovsky,·,65.0
978,"May 18, 1922",Crimea-Simeis,S. Belyavsky,·,92.0
979,"June 29, 1922",Heidelberg,K. Reinmuth,·,36.0
980,"November 21, 1921",Washington,G. H. Peters,·,75.0
981,"September 23, 1917",Crimea-Simeis,S. Belyavsky,THM,33.0
982,"May 21, 1922",Johannesburg,H. E. Wood,slow,33.0
983,"July 30, 1922",Heidelberg,K. Reinmuth,·,74.0
984,"August 27, 1922",Heidelberg,K. Reinmuth,·,32.0
985,"October 14, 1922",Heidelberg,K. Reinmuth,·,8.4
986,"October 19, 1922",Barcelona,J. Comas i Solà,·,49.0
987,"October 23, 1922",Heidelberg,K. Reinmuth,·,53.0
988,"November 10, 1922",Algiers,B. Jekhovsky,slow,20.0
989,"November 18, 1922",Hamburg-Bergedorf,A. Schwassmann,slow,13.0
990,"November 23, 1922",Williams Bay,G. Van Biesbroeck,·,21.0
991,"October 24, 1922",Williams Bay,O. Struve,THM,39.0
992,"November 14, 1922",Williams Bay,O. Struve,·,28.0
993,"January 12, 1923",Williams Bay,G. Van Biesbroeck,KOR,12.0
994,"March 18, 1923",Heidelberg,K. Reinmuth,·,21.0
995,"June 8, 1923",Crimea-Simeis,S. Belyavsky,·,20.0
996,"March 21, 1923",Vienna,J. Palisa,THM,29.0
997,"July 12, 1923",Heidelberg,K. Reinmuth,ADE,20.0
998,"August 6, 1923",Heidelberg,K. Reinmuth,·,32.0
999,"August 9, 1923",Heidelberg,K. Reinmuth,·,17.0
1000,"August 12, 1923",Heidelberg,K. Reinmuth,·,48.0
1001,"August 8, 1923",Crimea-Simeis,S. Belyavsky,·,73.0
1002,"August 15, 1923",Crimea-Simeis,V. Albitskij,·,23.0
1003,"September 13, 1923",Heidelberg,K. Reinmuth,THM ·,34.0
1004,"September 5, 1923",Crimea-Simeis,S. Belyavsky,CYB,72.0
1005,"September 5, 1923",Crimea-Simeis,S. Belyavsky,·,61.0
1006,"September 12, 1923",Crimea-Simeis,S. Belyavsky,·,35.0
1007,"October 5, 1923",Crimea-Simeis,V. Albitskij,slow,18.0
1008,"October 31, 1923",Heidelberg,M. F. Wolf,·,41.0
1009,"October 31, 1923",Heidelberg,K. Reinmuth,·,6.3
1010,"November 12, 1923",Heidelberg,K. Reinmuth,·,47.0
1011,"January 5, 1924",Heidelberg,K. Reinmuth,·,10.0
1012,"January 12, 1924",Heidelberg,K. Reinmuth,·,21.0
1013,"January 17, 1924",Algiers,B. Jekhovsky,·,35.0
1014,"January 29, 1924",Heidelberg,K. Reinmuth,·,17.0
1015,"January 31, 1924",Heidelberg,K. Reinmuth,·,82.0
1016,"January 31, 1924",Heidelberg,K. Reinmuth,moon,9.5
1017,"February 4, 1924",Algiers,B. Jekhovsky,·,40.0
1018,"March 3, 1924",Heidelberg,K. Reinmuth,·,17.0
1019,"March 3, 1924",Heidelberg,K. Reinmuth,H,7.2
1020,"March 7, 1924",Heidelberg,K. Reinmuth,AGN,10.0
1021,"March 11, 1924",Heidelberg,M. F. Wolf,·,101.0
1022,"June 23, 1924",Crimea-Simeis,V. Albitskij,·,34.0
1023,"June 25, 1924",Heidelberg,K. Reinmuth,·,58.0
1024,"December 2, 1923",Williams Bay,G. Van Biesbroeck,slow,43.0
1025,"August 12, 1923",Heidelberg,K. Reinmuth,H,4.6
1026,"August 13, 1923",Heidelberg,K. Reinmuth,·,7.4
1027,"November 11, 1923",Williams Bay,G. Van Biesbroeck,THM,31.0
1028,"November 6, 1923",Crimea-Simeis,V. Albitskij,CYB,89.0
1029,"April 28, 1924",La Plata Observatory,J. Hartmann,KOR,21.0
1030,"May 25, 1924",Crimea-Simeis,V. Albitskij,·,60.0
1031,"June 6, 1924",Crimea-Simeis,S. Belyavsky,·,75.0
1032,"May 30, 1924",Johannesburg,H. E. Wood,slow,66.0
1033,"September 4, 1924",Williams Bay,G. Van Biesbroeck,EOS,19.0
1034,"September 7, 1924",Crimea-Simeis,V. Albitskij,slow,7.9
1035,"September 29, 1924",Heidelberg,K. Reinmuth,·,56.0
1036,"October 23, 1924",Hamburg-Bergedorf,W. Baade,AMO + 1 km (0.62 mi),38.0
1037,"October 29, 1924",Algiers,B. Jekhovsky,·,6.9
1038,"November 24, 1924",Heidelberg,M. F. Wolf,T j (2.99) · HIL · 3:2,58.0
1039,"November 24, 1924",Heidelberg,M. F. Wolf,·,34.0
1040,"January 20, 1925",Algiers,B. Jekhovsky,TIR,22.0
1041,"March 22, 1925",Heidelberg,K. Reinmuth,·,61.0
1042,"April 22, 1925",Heidelberg,K. Reinmuth,slow,64.0
1043,"April 22, 1925",Heidelberg,K. Reinmuth,·,32.0
1044,"May 10, 1924",Heidelberg,K. Reinmuth,·,18.0
1045,"November 19, 1924",Williams Bay,G. Van Biesbroeck,·,6.1
1046,"December 1, 1924",Williams Bay,G. Van Biesbroeck,·,29.0
1047,"November 17, 1924",Heidelberg,K. Reinmuth,·,11.0
1048,"November 29, 1924",Heidelberg,K. Reinmuth,·,62.0
1049,"September 14, 1925",Heidelberg,K. Reinmuth,·,56.0
1050,"September 14, 1925",Heidelberg,K. Reinmuth,EUN,8.8
1051,"September 16, 1925",Heidelberg,K. Reinmuth,·,60.0
1052,"November 15, 1925",Uccle,E. Delporte,moon,9.8
1053,"November 16, 1925",Heidelberg,M. F. Wolf,·,9.1
1054,"November 20, 1925",Heidelberg,K. Reinmuth,·,48.0
1055,"November 17, 1925",Algiers,"Buchar, E.",·,13.0
1056,"January 31, 1924",Heidelberg,K. Reinmuth,·,12.0
1057,"August 16, 1925",Crimea-Simeis,G. Shajn,·,45.0
1058,"June 22, 1925",Crimea-Simeis,G. Shajn,(254),11.0
1059,"July 19, 1925",Crimea-Simeis,V. Albitskij,·,25.0
1060,"August 13, 1925",Heidelberg,K. Reinmuth,·,6.8
1061,"October 10, 1925",Heidelberg,K. Reinmuth,·,23.0
1062,"October 11, 1925",Crimea-Simeis,S. Belyavsky,·,58.0
1063,"December 6, 1925",Heidelberg,K. Reinmuth,·,11.0
1064,"August 2, 1926",Heidelberg,K. Reinmuth,·,20.0
1065,"August 4, 1926",Crimea-Simeis,S. Belyavsky,·,20.0
1066,"September 1, 1926",Heidelberg,K. Reinmuth,·,6.0
1067,"September 9, 1926",Heidelberg,K. Reinmuth,·,20.0
1068,"September 13, 1926",Uccle,E. Delporte,·,21.0
1069,"January 28, 1927",Heidelberg,M. F. Wolf,·,36.0
1070,"September 1, 1926",Heidelberg,K. Reinmuth,URS,39.0
1071,"March 3, 1924",Crimea-Simeis,V. Albitskij,·,61.0
1072,"October 4, 1926",Heidelberg,K. Reinmuth,·,54.0
1073,"September 14, 1923",Vienna,J. Palisa,THM,26.0
1074,"January 26, 1925",Crimea-Simeis,S. Belyavsky,THM,49.0
1075,"September 29, 1926",Crimea-Simeis,G. N. Neujmin,EOS,26.0
1076,"October 5, 1926",Heidelberg,K. Reinmuth,·,22.0
1077,"October 6, 1926",Heidelberg,K. Reinmuth,·,9.7
1078,"December 7, 1926",Heidelberg,K. Reinmuth,·,13.0
1079,"January 14, 1927",Williams Bay,G. Van Biesbroeck,KOR,21.0
1080,"August 30, 1927",Heidelberg,K. Reinmuth,·,23.0
1081,"August 31, 1927",Heidelberg,K. Reinmuth,·,38.0
1082,"October 28, 1927",Heidelberg,K. Reinmuth,THM,43.0
1083,"January 26, 1928",Heidelberg,K. Reinmuth,·,8.9
1084,"February 12, 1926",Crimea-Simeis,S. Belyavsky,·,26.0
1085,"August 31, 1927",Heidelberg,K. Reinmuth,·,69.0
1086,"August 25, 1927",Crimea-Simeis,"S. Belyavsky , Ivanov, N.",VER,66.0
1087,"September 2, 1927",Heidelberg,K. Reinmuth,EOS,37.0
1088,"November 17, 1927",Tokyo,O. Oikawa,·,15.0
1089,"November 17, 1927",Tokyo,O. Oikawa,moon,13.0
1090,"February 20, 1928",Tokyo,O. Oikawa,PHO,13.0
1091,"February 26, 1928",Heidelberg,K. Reinmuth,CYB,35.0
1092,"January 12, 1924",Heidelberg,K. Reinmuth,·,40.0
1093,"June 15, 1925",Algiers,B. Jekhovsky,·,117.0
1094,"February 12, 1926",Crimea-Simeis,S. Belyavsky,EUN ·,18.0
1095,"April 14, 1926",Heidelberg,K. Reinmuth,EOS,28.0
1096,"July 21, 1928",Johannesburg,H. E. Wood,·,42.0
1097,"August 11, 1928",Heidelberg,K. Reinmuth,slow,23.0
1098,"September 5, 1928",Tokyo,O. Oikawa,·,27.0
1099,"September 13, 1928",Crimea-Simeis,G. N. Neujmin,·,23.0
1100,"September 22, 1928",Heidelberg,K. Reinmuth,KOR,17.0
1101,"September 22, 1928",Heidelberg,K. Reinmuth,(1101) ·,34.0
1102,"November 5, 1928",Barcelona,J. Comas i Solà,·,37.0
1103,"November 9, 1928",Hamburg-Bergedorf,W. Baade,H,6.7
1104,"December 9, 1928",Heidelberg,K. Reinmuth,·,23.0
1105,"January 1, 1929",Heidelberg,K. Reinmuth,EOS,38.0
1106,"February 5, 1929",Heidelberg,K. Reinmuth,EUN,12.0
1107,"March 30, 1929",Pino Torinese,L. Volta,HYG,79.0
1108,"May 31, 1929",Heidelberg,K. Reinmuth,·,25.0
1109,"February 5, 1929",Heidelberg,K. Reinmuth,HYG,62.0
1110,"August 10, 1928",Crimea-Simeis,G. N. Neujmin,·,12.0
1111,"February 11, 1927",Heidelberg,K. Reinmuth,·,30.0
1112,"August 15, 1928",Crimea-Simeis,P. F. Shajn,EOS,40.0
1113,"August 15, 1928",Crimea-Simeis,P. F. Shajn,·,45.0
1114,"November 17, 1928",Nice,A. Schaumasse,EOS,76.0
1115,"December 13, 1928",Pino Torinese,L. Volta,·,76.0
1116,"April 5, 1929",Johannesburg,C. Jackson,·,39.0
1117,"May 24, 1927",Barcelona,J. Comas i Solà,·,10.0
1118,"August 29, 1927",Crimea-Simeis,"S. Belyavsky , Ivanov, N.",(1118),71.0
1119,"October 27, 1927",Heidelberg,K. Reinmuth,·,29.0
1120,"September 11, 1928",Crimea-Simeis,P. F. Shajn,·,10.0
1121,"September 11, 1928",Crimea-Simeis,P. F. Shajn,(5),13.0
1122,"September 17, 1928",Uccle,E. Delporte,·,12.0
1123,"September 21, 1928",Crimea-Simeis,G. N. Neujmin,·,11.0
1124,"October 6, 1928",Uccle,E. Delporte,·,24.0
1125,"October 30, 1957",Nanking,Purple Mountain,·,26.0
1126,"January 11, 1929",Heidelberg,K. Reinmuth,·,11.0
1127,"January 13, 1929",Uccle,S. J. Arend,·,46.0
1128,"March 10, 1929",Uccle,E. Delporte,AST,42.0
1129,"August 8, 1929",Crimea-Simeis,"Parchomenko, P.",EOS,35.0
1130,"September 2, 1929",Heidelberg,K. Reinmuth,·,10.0
1131,"September 10, 1929",Heidelberg,K. Reinmuth,·,7.5
1132,"September 13, 1929",Johannesburg,H. van Gent,·,27.0
1133,"September 13, 1929",Johannesburg,H. van Gent,·,8.3
1134,"September 25, 1929",Heidelberg,M. F. Wolf,·,6.0
1135,"October 3, 1929",Crimea-Simeis,G. N. Neujmin,·,51.0
1136,"October 30, 1929",Barcelona,J. Comas i Solà,·,25.0
1137,"October 27, 1929",Crimea-Simeis,G. N. Neujmin,slow,19.0
1138,"November 22, 1929",Heidelberg,K. Reinmuth,·,24.0
1139,"December 1, 1929",Tokyo,"O. Oikawa , K. Kubokawa",moon,7.9
1140,"December 30, 1929",Crimea-Simeis,G. N. Neujmin,·,29.0
1141,"January 4, 1930",Heidelberg,M. F. Wolf,·,5.6
1142,"January 24, 1930",Heidelberg,K. Reinmuth,·,22.0
1143,"January 28, 1930",Heidelberg,K. Reinmuth,L4,115.0
1144,"January 28, 1930",Heidelberg,K. Reinmuth,3:2 · slow,56.0
1145,"February 3, 1929",Uccle,E. Delporte,V,24.0
1146,"May 7, 1929",Crimea-Simeis,G. N. Neujmin,·,33.0
1147,"June 11, 1929",Crimea-Simeis,G. N. Neujmin,·,13.0
1148,"July 5, 1929",Crimea-Simeis,A. Deutsch,EOS,28.0
1149,"August 1, 1929",Crimea-Simeis,"Skvortsov, E.",·,52.0
1150,"September 2, 1929",Heidelberg,K. Reinmuth,·,7.7
1151,"September 8, 1929",Heidelberg,K. Reinmuth,·,12.0
1152,"January 8, 1930",Heidelberg,K. Reinmuth,·,17.0
1153,"September 5, 1924",Crimea-Simeis,S. Belyavsky,·,8.0
1154,"February 8, 1927",Heidelberg,K. Reinmuth,CYB,56.0
1155,"January 26, 1928",Heidelberg,K. Reinmuth,·,9.3
1156,"February 22, 1928",Heidelberg,K. Reinmuth,·,6.8
1157,"August 31, 1929",Heidelberg,K. Reinmuth,·,29.0
1158,"August 31, 1929",Crimea-Simeis,G. N. Neujmin,MAR,19.0
1159,"September 2, 1929",Heidelberg,K. Reinmuth,PHO,29.0
1160,"September 9, 1929",Heidelberg,K. Reinmuth,MAR,14.0
1161,"September 29, 1929",Heidelberg,K. Reinmuth,·,21.0
1162,"January 5, 1930",Heidelberg,K. Reinmuth,3:2,40.0
1163,"January 20, 1930",Heidelberg,K. Reinmuth,·,32.0
1164,"March 19, 1930",Heidelberg,K. Reinmuth,PHO,7.7
1165,"April 24, 1930",Johannesburg,H. van Gent,·,53.0
1166,"June 27, 1930",Crimea-Simeis,"Parchomenko, P.",·,26.0
1167,"August 3, 1930",Crimea-Simeis,"Skvortsov, E.",CYB,63.0
1168,"August 25, 1930",Uccle,E. Delporte,EUN,10.0
1169,"August 30, 1930",Heidelberg,"M. F. Wolf , Ferrero, M.",·,8.1
1170,"September 29, 1930",Uccle,E. Delporte,·,10.0
1171,"October 3, 1930",Uccle,S. J. Arend,·,82.0
1172,"October 17, 1930",Heidelberg,K. Reinmuth,L5,118.0
1173,"October 17, 1930",Heidelberg,K. Reinmuth,L5,100.0
1174,"October 17, 1930",Heidelberg,K. Reinmuth,EOS,18.0
1175,"October 17, 1930",Heidelberg,K. Reinmuth,·,24.0
1176,"November 15, 1930",Uccle,E. Delporte,·,17.0
1177,"November 24, 1930",Algiers,L. Boyer,CYB,92.0
1178,"March 13, 1931",Heidelberg,M. F. Wolf,·,20.0
1179,"March 19, 1931",Heidelberg,M. F. Wolf,·,13.0
1180,"April 9, 1931",Heidelberg,K. Reinmuth,3:2,97.0
1181,"February 11, 1927",Algiers,B. Jekhovsky,·,20.0
1182,"March 3, 1927",Heidelberg,K. Reinmuth,·,14.0
1183,"February 22, 1930",Heidelberg,K. Reinmuth,NYS · slow ·,24.0
1184,"September 5, 1926",Heidelberg,K. Reinmuth,·,12.0
1185,"November 17, 1927",Tokyo,O. Oikawa,·,8.3
1186,"August 1, 1929",Johannesburg,C. Jackson,EOS,34.0
1187,"December 6, 1929",Heidelberg,K. Reinmuth,·,32.0
1188,"September 30, 1930",Barcelona,J. Comas i Solà,·,13.0
1189,"September 17, 1930",Crimea-Simeis,G. N. Neujmin,TRE,59.0
1190,"September 20, 1930",Crimea-Simeis,G. N. Neujmin,·,18.0
1191,"February 11, 1931",Pino Torinese,L. Volta,slow,47.0
1192,"March 17, 1931",Hamburg-Bergedorf,A. Schwassmann,·,7.4
1193,"April 24, 1931",Johannesburg,C. Jackson,EUN · slow,12.0
1194,"May 13, 1931",Johannesburg,C. Jackson,·,41.0
1195,"May 24, 1931",Johannesburg,C. Jackson,·,6.3
1196,"May 21, 1931",Johannesburg,C. Jackson,·,25.0
1197,"June 9, 1931",Johannesburg,C. Jackson,·,48.0
1198,"September 7, 1931",Heidelberg,K. Reinmuth,·,3.9
1199,"September 14, 1931",Uccle,E. Delporte,EOS,30.0
1200,"September 14, 1931",Heidelberg,K. Reinmuth,·,42.0
1201,"September 14, 1931",Heidelberg,K. Reinmuth,·,36.0
1202,"September 13, 1931",Crimea-Simeis,G. N. Neujmin,3:2,55.0
1203,"October 5, 1931",Heidelberg,M. F. Wolf,·,35.0
1204,"October 6, 1931",Heidelberg,K. Reinmuth,·,10.0
1205,"October 6, 1931",Heidelberg,K. Reinmuth,·,5.5
1206,"October 18, 1931",Heidelberg,K. Reinmuth,·,15.0
1207,"November 15, 1931",Heidelberg,K. Reinmuth,EOS,22.0
1208,"December 31, 1931",Heidelberg,K. Reinmuth,L5,100.0
1209,"April 22, 1927",Heidelberg,K. Reinmuth,HYG ·,27.0
1210,"June 6, 1931",Crimea-Simeis,G. N. Neujmin,EOS,34.0
1211,"December 2, 1931",Algiers,L. Boyer,·,46.0
1212,"December 3, 1931",Algiers,L. Boyer,HIL · 3:2,76.0
1213,"December 5, 1931",Algiers,G. Reiss,·,29.0
1214,"January 1, 1932",Heidelberg,M. F. Wolf,·,37.0
1215,"January 19, 1932",Algiers,A. Schmitt,MAR,13.0
1216,"January 29, 1932",Heidelberg,K. Reinmuth,·,11.0
1217,"March 13, 1932",Uccle,E. Delporte,·,10.0
1218,"January 29, 1932",Heidelberg,K. Reinmuth,·,5.6
1219,"February 6, 1932",Heidelberg,M. F. Wolf,·,9.9
1220,"February 11, 1932",Heidelberg,K. Reinmuth,EOS · slow,18.0
1221,"March 12, 1932",Uccle,E. Delporte,AMO + 1 km (0.62 mi),1.0
1222,"June 11, 1932",Uccle,E. Delporte,TIN,26.0
1223,"October 6, 1931",Heidelberg,K. Reinmuth,KOR,23.0
1224,"August 29, 1927",Crimea-Simeis,"S. Belyavsky , Ivanov, N.",·,14.0
1225,"April 23, 1930",Johannesburg,H. van Gent,·,9.2
1226,"April 22, 1930",Johannesburg,H. van Gent,·,12.0
1227,"October 5, 1931",Heidelberg,K. Reinmuth,·,46.0
1228,"October 5, 1931",Heidelberg,K. Reinmuth,AGN,15.0
1229,"October 9, 1931",Heidelberg,K. Reinmuth,THM,28.0
1230,"October 9, 1931",Heidelberg,K. Reinmuth,·,6.2
1231,"October 10, 1931",Heidelberg,K. Reinmuth,·,19.0
1232,"October 10, 1931",Heidelberg,K. Reinmuth,·,36.0
1233,"October 10, 1931",Heidelberg,K. Reinmuth,·,33.0
1234,"October 18, 1931",Heidelberg,K. Reinmuth,EOS ·,23.0
1235,"October 18, 1931",Heidelberg,K. Reinmuth,H · slow,5.0
1236,"November 6, 1931",Crimea-Simeis,G. N. Neujmin,PHO,22.0
1237,"December 2, 1931",Algiers,G. Reiss,·,40.0
1238,"February 4, 1932",Pino Torinese,L. Volta,ADE,21.0
1239,"February 4, 1932",Uccle,E. Delporte,·,19.0
1240,"February 5, 1932",Hamburg-Bergedorf,R. Schorr,·,63.0
1241,"March 4, 1932",Johannesburg,H. E. Wood,·,79.0
1242,"April 28, 1932",Johannesburg,C. Jackson,·,48.0
1243,"May 7, 1932",Johannesburg,C. Jackson,·,70.0
1244,"May 25, 1932",Johannesburg,C. Jackson,slow,32.0
1245,"May 26, 1932",Johannesburg,C. Jackson,KOR,30.0
1246,"July 23, 1932",Johannesburg,C. Jackson,·,18.0
1247,"August 30, 1932",Uccle,M. Laugier,THM,39.0
1248,"September 1, 1932",Johannesburg,C. Jackson,·,28.0
1249,"November 4, 1932",Heidelberg,K. Reinmuth,·,13.0
1250,"January 25, 1933",Heidelberg,K. Reinmuth,·,20.0
1251,"January 25, 1933",Heidelberg,K. Reinmuth,·,13.0
1252,"February 19, 1933",Oak Ridge Observatory,F. L. Whipple,·,19.0
1253,"October 9, 1931",Heidelberg,K. Reinmuth,THM,22.0
1254,"May 10, 1932",La Plata Observatory,J. Hartmann,·,52.0
1255,"July 8, 1932",Crimea-Simeis,G. N. Neujmin,·,34.0
1256,"August 8, 1932",Heidelberg,K. Reinmuth,3:2,68.0
1257,"August 8, 1932",Heidelberg,K. Reinmuth,·,21.0
1258,"August 8, 1932",Heidelberg,K. Reinmuth,·,46.0
1259,"January 29, 1933",Heidelberg,K. Reinmuth,THM,36.0
1260,"January 29, 1933",Heidelberg,K. Reinmuth,·,13.0
1261,"March 23, 1933",Uccle,E. Delporte,·,33.0
1262,"March 23, 1933",Uccle,S. J. Arend,·,71.0
1263,"March 23, 1933",Uccle,S. J. Arend,·,49.0
1264,"April 21, 1933",Johannesburg,C. Jackson,·,66.0
1265,"October 18, 1911",Heidelberg,F. Kaiser,EOS,19.0
1266,"January 23, 1927",Tokyo,O. Oikawa,CYB,75.0
1267,"April 23, 1930",Johannesburg,H. van Gent,·,23.0
1268,"April 29, 1930",Johannesburg,C. Jackson,3:2,97.0
1269,"September 20, 1930",Crimea-Simeis,G. N. Neujmin,3:2,105.0
1270,"December 17, 1930",Williams Bay,G. Van Biesbroeck,·,8.2
1271,"October 10, 1931",Crimea-Simeis,G. N. Neujmin,·,48.0
1272,"October 10, 1931",Heidelberg,K. Reinmuth,GEF,7.0
1273,"August 8, 1932",Heidelberg,K. Reinmuth,V,6.3
1274,"November 28, 1932",Uccle,E. Delporte,·,9.6
1275,"November 30, 1932",Heidelberg,K. Reinmuth,EUN ·,28.0
1276,"January 24, 1933",Uccle,E. Delporte,·,36.0
1277,"April 18, 1933",Crimea-Simeis,G. N. Neujmin,·,33.0
1278,"June 15, 1933",Johannesburg,C. Jackson,slow,19.0
1279,"June 15, 1933",Johannesburg,C. Jackson,·,6.8
1280,"August 18, 1933",Uccle,E. Delporte,CYB,51.0
1281,"August 25, 1933",Uccle,S. J. Arend,·,26.0
1282,"August 17, 1933",Johannesburg,C. Jackson,·,58.0
1283,"September 25, 1925",Crimea-Simeis,V. Albitskij,·,30.0
1284,"July 27, 1933",Heidelberg,K. Reinmuth,·,41.0
1285,"August 21, 1933",Uccle,E. Delporte,·,42.0
1286,"August 25, 1933",Uccle,S. J. Arend,EOS,21.0
1287,"August 25, 1933",Uccle,S. J. Arend,EOS,22.0
1288,"August 26, 1933",Uccle,E. Delporte,·,31.0
1289,"August 19, 1933",Crimea-Simeis,G. N. Neujmin,KOR,22.0
1290,"August 21, 1933",Uccle,E. Delporte,·,9.7
1291,"September 15, 1933",Uccle,E. Delporte,EOS,27.0
1292,"September 17, 1933",Uccle,F. Rigaux,·,14.0
1293,"September 26, 1933",Uccle,E. Delporte,·,7.8
1294,"October 24, 1933",Uccle,E. Delporte,·,37.0
1295,"November 25, 1933",Algiers,L. Boyer,CYB,47.0
1296,"November 25, 1933",Algiers,L. Boyer,·,26.0
1297,"January 7, 1934",Heidelberg,K. Reinmuth,EOS,22.0
1298,"January 7, 1934",Heidelberg,K. Reinmuth,(1298),38.0
1299,"January 18, 1934",Algiers,G. Reiss,·,14.0
1300,"February 10, 1934",Algiers,G. Reiss,slow,28.0
1301,"March 7, 1934",Algiers,L. Boyer,·,21.0
1302,"September 28, 1924",Heidelberg,K. Reinmuth,THM,35.0
1303,"March 16, 1928",Hamburg-Bergedorf,A. Schwassmann,LUT,82.0
1304,"May 21, 1928",Heidelberg,K. Reinmuth,·,44.0
1305,"July 19, 1928",Johannesburg,H. E. Wood,·,24.0
1306,"July 22, 1930",Crimea-Simeis,G. N. Neujmin,URS ·,67.0
1307,"October 17, 1930",Crimea-Simeis,G. N. Neujmin,·,9.4
1308,"March 12, 1931",Heidelberg,K. Reinmuth,·,47.0
1309,"October 11, 1931",Crimea-Simeis,G. N. Neujmin,·,58.0
1310,"February 28, 1932",Hamburg-Bergedorf,A. Schwassmann,·,20.0
1311,"March 24, 1933",Heidelberg,K. Reinmuth,·,9.9
1312,"July 27, 1933",Williams Bay,G. Van Biesbroeck,·,36.0
1313,"August 24, 1933",Uccle,S. J. Arend,moon,14.0
1314,"September 16, 1933",Uccle,S. J. Arend,·,8.2
1315,"September 16, 1933",Uccle,S. J. Arend,·,65.0
1316,"November 17, 1933",Crimea-Simeis,G. N. Neujmin,·,10.0
1317,"September 1, 1935",Heidelberg,K. Reinmuth,·,18.0
1318,"March 24, 1934",Johannesburg,C. Jackson,PHO,13.0
1319,"March 19, 1934",Johannesburg,C. Jackson,·,26.0
1320,"May 13, 1934",Johannesburg,C. Jackson,·,37.0
1321,"May 7, 1934",Johannesburg,C. Jackson,·,37.0
1322,"June 15, 1934",Heidelberg,K. Reinmuth,PHO,10.0
1323,"May 19, 1934",Johannesburg,C. Jackson,·,78.0
1324,"June 15, 1934",Johannesburg,C. Jackson,·,6.5
1325,"July 14, 1934",Johannesburg,C. Jackson,·,11.0
1326,"July 14, 1934",Johannesburg,C. Jackson,·,26.0
1327,"September 7, 1934",Johannesburg,C. Jackson,MRX ·,22.0
1328,"October 21, 1925",Algiers,B. Jekhovsky,CYB,54.0
1329,"March 23, 1933",Uccle,E. Delporte,EUN · slow,19.0
1330,"February 17, 1925",Crimea-Simeis,V. Albitskij,·,68.0
1331,"August 25, 1933",Crimea-Simeis,G. N. Neujmin,·,37.0
1332,"January 9, 1934",Pino Torinese,L. Volta,·,47.0
1333,"February 20, 1934",Algiers,O. Bancilhon,EUN,15.0
1334,"July 16, 1934",Heidelberg,K. Reinmuth,·,28.0
1335,"September 7, 1934",Heidelberg,K. Reinmuth,·,7.5
1336,"September 9, 1934",Johannesburg,H. van Gent,KOR,21.0
1337,"September 9, 1934",Johannesburg,H. van Gent,·,41.0
1338,"December 4, 1934",Algiers,L. Boyer,(1338) ( FLO ) · moon,7.5
1339,"December 4, 1934",Algiers,L. Boyer,EOS,24.0
1340,"December 27, 1934",Algiers,L. Boyer,THM,29.0
1341,"January 27, 1935",Uccle,E. Delporte,·,24.0
1342,"February 13, 1935",Johannesburg,H. van Gent,PHO,12.0
1343,"March 29, 1935",Algiers,L. Boyer,·,24.0
1344,"April 1, 1935",Algiers,L. Boyer,·,5.8
1345,"February 4, 1908",Taunton,J. H. Metcalf,T j (2.99) · 3:2,73.0
1346,"February 5, 1929",Heidelberg,K. Reinmuth,EUN,14.0
1347,"November 6, 1931",Crimea-Simeis,G. N. Neujmin,·,32.0
1348,"March 23, 1933",Uccle,S. J. Arend,·,16.0
1349,"June 13, 1934",Johannesburg,C. Jackson,·,24.0
1350,"October 3, 1934",Uccle,E. Delporte,KOR,21.0
1351,"October 5, 1934",Crimea-Simeis,G. N. Neujmin,·,60.0
1352,"February 3, 1935",Uccle,S. J. Arend,·,20.0
1353,"February 13, 1935",Johannesburg,H. van Gent,EOS ·,39.0
1354,"April 3, 1935",Johannesburg,C. Jackson,·,42.0
1355,"April 30, 1935",Johannesburg,C. Jackson,H,4.3
1356,"May 3, 1935",Johannesburg,C. Jackson,·,61.0
